% Metodo delle parabole, f: (x) => Math.sin(x), $x_0$: 3.1, f': (x) => Math.cos(x), f'': (x) => -Math.sin(x)
$k$	$x_k$	$f_k$	$f'_k$	$f''_k$	$|x_{k+1}-x_{k}|$
0	3.1	0.04158066243329049	-0.9991351502732795	-0.04158066243329049	24.0288415769285
1	-20.928841576928498	-0.8734809869155732	-0.4868582601712703	0.8734809869155732	0.5573770550981969
2	-20.3714645218303	-0.9988052330858253	0.04886825513940918	0.9988052330858253	0.048926711155115044
3	-20.420391232985416	-0.9999999992400984	-0.00003898465175032734	0.9999999992400984	0.000038984651780538115
4	-20.420352248333636	-1	2.0335945652848534e-14	1	2.1316282072803006e-14
5	-20.420352248333657	-1	-9.803364199544708e-16	1	0

