% Metodo delle parabole, f: (x) => (x * x * x) / 3 + 2 * x * x + x + 6, $x_0$: -1, f': (x) => x * x + 4 * x + 1, f'': (x) => 2 * x + 4
$k$	$x_k$	$f_k$	$f'_k$	$f''_k$	$|x_{k+1}-x_{k}|$
0	-1	6.666666666666667	-2	2	1
1	0	6	1	4	0.25
2	-0.25	5.869791666666667	0.0625	3.5	0.01785714285714285
3	-0.26785714285714285	5.86923173287172	0.0003188775510204467	3.4642857142857144	0.00009204712812960203
4	-0.26794918998527245	5.869231718195579	8.472673784787332e-9	3.464101620029455	2.4458502445590113e-9
5	-0.2679491924311227	5.869231718195579	0	3.4641016151377544	0

