% Metodo delle corde, f: (x) => x * x - 1, $a$: 0, $x_0$: 2
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	2	3	2	1.5
1	0.5	-0.75	0.5	1.5
2	2	3	2	1.5
3	0.5	-0.75	0.5	1.5
4	2	3	2	1.5
5	0.5	-0.75	0.5	1.5
6	2	3	2	1.5
7	0.5	-0.75	0.5	1.5
8	2	3	2	1.5
9	0.5	-0.75	0.5	1.5

