% Metodo delle tangenti, f: (x) => Math.sin(x), $x_0$: 3.1, f': (x) => Math.cos(x)
$k$	$x_k$	$f_k$	$f'_k$	$|x_{k+1}-x_{k}|$
0	3.1	0.04158066243329049	-0.9991351502732795	0.04161665458563579
1	3.141616654585636	-0.000024000995840338852	-0.9999999997119761	0.000024000995847206497
2	3.1415926535897887	4.563356778415361e-15	-1	4.440892098500626e-15
3	3.141592653589793	1.2246467991473532e-16	-1	0

