% Metodo delle secanti, f: (x) => Math.sin(x), $a$: 3.2, $x_0$: 3.1
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	3.1	0.04158066243329049	-0.9995480586087049	0.041599462952454314
1	3.1415994629524544	-0.000006809362661111313	-0.9997117473243244	0.0000068113260440760826
2	3.1415926516264103	1.963382912147235e-9	-0.9999999999922744	1.963382789682555e-9
3	3.141592653589793	1.2246467991473532e-16	-1	0

