% Metodo delle secanti, f: (x) => Math.exp(-Math.exp(-x)) - x, $a$: 1, $x_0$: 0.5
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	0.5	0.04523921189260505	-0.7060771686745175	0.0640712005707964
1	0.5640712005707964	0.002083291086126149	-0.6735619189590982	0.003092946657889506
2	0.5671641472286859	-0.000014148221852638976	-0.6781362693820236	0.0000208633905771638
3	0.5671432838381087	4.4578858382493536e-9	-0.6783499396290917	6.571660993159867e-9
4	0.5671432904097697	9.547918011776346e-15	-0.6783484867785078	1.4099832412739488e-14
5	0.5671432904097838	0	-0.6771653543307087	0

