% Metodo delle secanti, f: (x) => x * x - 6, $a$: 6, $x_0$: 3
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	3	3	9	0.3333333333333335
1	2.6666666666666665	1.1111111111111107	5.666666666666665	0.19607843137254877
2	2.4705882352941178	0.10380622837370268	5.137254901960787	0.0202065559048048
3	2.450381679389313	0.004370374686789802	4.920969914683412	0.00088811245802356
4	2.4494935669312894	0.00001873443777089534	4.8998752463209625	0.00000382345199190226
5	2.4494897434792975	3.4102747292763524e-9	4.898983310327096	6.961187182241702e-10
6	2.4494897427831788	3.552713678800501e-15	4.898979279371236	8.881784197001252e-16
7	2.449489742783178	-8.881784197001252e-16	5	0

