% Metodo di Erone (radice quadrata), r: 6, $x_0$: 3
$k$	$x_k$	$r/x_k$	$|x_{k+1}-x_{k}|$
0	3	2	0.5
1	2.5	2.4	0.04999999999999982
2	2.45	2.4489795918367343	0.0005102040816327147
3	2.4494897959183675	2.44948968964799	5.31351886934317e-8
4	2.4494897427831788	2.4494897427831774	8.881784197001252e-16
5	2.449489742783178	2.4494897427831783	0

