% Metodo delle corde, f: (x) => Math.sin(x), $a$: 3.2, $x_0$: 3.1
$k$	$x_k$	$f_k$	$m_k$	$|x_{k+1}-x_{k}|$
0	3.1	0.04158066243329049	-0.9995480586087049	0.041599462952454314
1	3.1415994629524544	-0.000006809362661111313	-0.9994314610052342	0.000006813236251623778
2	3.141592649716203	3.873590459842344e-9	-0.9994315273254905	3.87579390803694e-9
3	3.1415926535919967	-2.203448194596096e-12	-0.9994315272877676	2.204902926905561e-12
4	3.141592653589792	1.4547323094649232e-15	-0.9994315272877892	1.3322676295501878e-15
5	3.141592653589793	1.2246467991473532e-16	-0.9994315272877892	0

